period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-06-19T19,0.01%,25.35%,0.39%,10.06%,64.19%,8.39,10.02
2023-06-19T20,0.01%,25.19%,0.40%,10.33%,64.07%,8.44,10.10
2023-06-19T21,0.01%,23.30%,0.38%,9.94%,66.37%,7.92,9.52
2023-06-19T22,0.01%,21.29%,0.37%,9.56%,68.76%,7.39,8.91
2023-06-19T23,0.01%,17.37%,0.37%,9.62%,72.63%,6.60,8.07
2023-06-20T00,0.01%,19.40%,0.37%,9.52%,70.70%,6.98,8.47
2023-06-20T01,0.02%,19.16%,0.38%,9.87%,70.57%,7.08,8.62
2023-06-20T02,0.01%,20.63%,0.42%,10.70%,68.25%,7.64,9.31
2023-06-20T03,0.01%,23.68%,0.42%,10.84%,65.04%,8.32,10.05
2023-06-20T04,0.01%,27.44%,0.43%,11.00%,61.12%,9.14,10.94
2023-06-20T05,0.01%,27.87%,0.44%,11.25%,60.42%,9.35,11.20
2023-06-20T06,0.02%,30.99%,0.48%,12.26%,56.25%,10.31,12.34
2023-06-20T07,0.02%,29.92%,0.53%,13.36%,56.18%,10.44,12.60
2023-06-20T08,0.02%,28.44%,0.55%,13.94%,57.05%,10.32,12.54
2023-06-20T09,0.03%,26.70%,0.58%,14.82%,57.87%,10.24,12.55
2023-06-20T10,0.03%,29.10%,0.59%,15.12%,55.17%,10.84,13.22
2023-06-20T11,0.03%,30.09%,0.59%,15.09%,54.20%,11.04,13.43
2023-06-20T12,0.03%,28.38%,0.62%,15.63%,55.34%,10.86,13.30
2023-06-20T13,0.03%,30.91%,0.58%,14.76%,53.72%,11.10,13.46
2023-06-20T14,0.02%,27.56%,0.50%,12.83%,59.08%,9.79,11.85
2023-06-20T15,0.01%,20.88%,0.42%,10.57%,68.12%,7.69,9.36
2023-06-20T16,0.01%,21.24%,0.39%,9.90%,68.46%,7.51,9.09
2023-06-20T17,0.02%,23.73%,0.38%,9.69%,66.19%,7.96,9.54
2023-06-20T18,0.01%,24.26%,0.38%,9.65%,65.69%,8.10,9.69
2023-06-20T19,0.01%,24.00%,0.38%,9.58%,66.03%,8.02,9.60
2023-06-20T20,0.01%,22.41%,0.37%,9.32%,67.89%,7.61,9.13
2023-06-20T21,0.01%,21.51%,0.36%,9.24%,68.88%,7.36,8.85
2023-06-20T22,0.01%,19.83%,0.36%,9.16%,70.64%,7.02,8.49
2023-06-20T23,0.01%,17.28%,0.36%,9.15%,73.20%,6.46,7.88
2023-06-21T00,0.01%,17.62%,0.35%,8.89%,73.13%,6.44,7.84
2023-06-21T01,0.01%,19.39%,0.34%,8.76%,71.50%,6.73,8.12
2023-06-21T02,0.01%,22.65%,0.37%,9.52%,67.45%,7.68,9.22
2023-06-21T03,0.01%,28.35%,0.39%,10.11%,61.13%,9.04,10.73
2023-06-21T04,0.01%,32.63%,0.42%,10.58%,56.35%,10.11,11.93
2023-06-21T05,0.01%,33.71%,0.43%,11.03%,54.81%,10.48,12.37
2023-06-21T06,0.02%,34.63%,0.46%,11.76%,53.14%,10.90,12.90
2023-06-21T07,0.02%,33.94%,0.51%,12.98%,52.55%,11.14,13.30
2023-06-21T08,0.02%,32.75%,0.52%,13.35%,53.36%,11.02,13.20
2023-06-21T09,0.01%,31.29%,0.55%,14.13%,54.01%,10.97,13.24
2023-06-21T10,0.02%,30.15%,0.57%,14.61%,54.65%,10.89,13.21
2023-06-21T11,0.02%,30.72%,0.58%,14.73%,53.95%,11.04,13.39
2023-06-21T12,0.02%,33.92%,0.57%,14.39%,51.11%,11.59,13.93
2023-06-21T13,0.02%,37.29%,0.55%,14.09%,48.05%,12.20,14.54
2023-06-21T14,0.02%,32.18%,0.49%,12.56%,54.75%,10.66,12.73
2023-06-21T15,0.01%,25.73%,0.42%,10.63%,63.21%,8.71,10.45
2023-06-21T16,0.01%,27.22%,0.39%,10.09%,62.29%,8.78,10.43
2023-06-21T17,0.01%,28.15%,0.38%,9.79%,61.67%,8.91,10.56
2023-06-21T18,0.01%,28.40%,0.32%,9.78%,61.49%,8.50,9.96
2023-06-21T19,0.01%,28.64%,0.37%,9.61%,61.38%,8.88,10.48
2023-06-21T20,0.01%,29.29%,0.37%,9.59%,60.75%,9.04,10.66
2023-06-21T21,0.01%,26.33%,0.36%,9.38%,63.92%,8.37,9.92
2023-06-21T22,0.01%,24.21%,0.35%,9.07%,66.36%,7.83,9.32
2023-06-21T23,0.01%,22.71%,0.34%,8.90%,68.04%,7.47,8.91
2023-06-22T00,0.01%,23.29%,0.33%,8.53%,67.85%,7.47,8.87
2023-06-22T01,0.01%,26.64%,0.33%,8.40%,64.62%,8.15,9.59
2023-06-22T02,0.01%,32.12%,0.34%,8.73%,58.81%,9.39,10.94
2023-06-22T03,0.01%,41.00%,0.34%,8.87%,49.78%,11.27,12.95
2023-06-22T04,0.01%,45.97%,0.36%,9.17%,44.49%,12.39,14.17
2023-06-22T05,0.01%,44.81%,0.38%,9.80%,44.99%,12.35,14.20
2023-06-22T06,0.01%,44.81%,0.42%,10.86%,43.90%,12.68,14.67
2023-06-22T07,0.02%,44.62%,0.47%,12.03%,42.87%,13.01,15.15
2023-06-22T08,0.01%,40.84%,0.50%,13.01%,45.63%,12.53,14.75
2023-06-22T09,0.02%,38.02%,0.54%,13.75%,47.67%,12.23,14.54
2023-06-22T10,0.03%,36.01%,0.55%,14.22%,49.19%,11.92,14.24
2023-06-22T11,0.02%,36.54%,0.57%,14.40%,48.47%,12.14,14.51
2023-06-22T12,0.03%,37.84%,0.56%,14.48%,47.09%,12.38,14.76
2023-06-22T13,0.03%,39.92%,0.55%,14.15%,45.34%,12.71,15.07
2023-06-22T14,0.02%,35.05%,0.48%,12.47%,51.98%,11.13,13.19
2023-06-22T15,0.02%,23.55%,0.41%,10.72%,65.30%,8.20,9.89
2023-06-22T16,0.02%,21.93%,0.38%,9.84%,67.84%,7.59,9.15
2023-06-22T17,0.02%,25.50%,0.35%,9.25%,64.88%,8.15,9.67
2023-06-22T18,0.02%,27.59%,0.36%,9.18%,62.86%,8.59,10.15
2023-06-22T19,0.02%,26.96%,0.35%,8.92%,63.75%,8.38,9.90
2023-06-22T20,0.01%,24.08%,0.34%,8.70%,66.87%,7.72,9.16
2023-06-22T21,0.01%,22.42%,0.34%,8.66%,68.58%,7.36,8.78
2023-06-22T22,0.02%,19.33%,0.33%,8.62%,71.70%,6.71,8.09
2023-06-22T23,0.02%,19.45%,0.34%,8.71%,71.49%,6.76,8.15
2023-06-23T00,0.01%,21.71%,0.33%,8.50%,69.45%,7.16,8.56
2023-06-23T01,0.02%,23.15%,0.33%,8.54%,67.96%,7.48,8.89
2023-06-23T02,0.02%,27.18%,0.35%,9.19%,63.25%,8.48,10.02
2023-06-23T03,0.02%,34.79%,0.38%,9.67%,55.15%,10.24,11.95
2023-06-23T04,0.01%,39.11%,0.38%,9.83%,50.67%,11.18,12.96
2023-06-23T05,0.01%,37.84%,0.41%,10.52%,51.21%,11.18,13.05
2023-06-23T06,0.01%,36.61%,0.44%,11.25%,51.69%,11.15,13.10
2023-06-23T07,0.02%,37.47%,0.48%,12.17%,49.87%,11.62,13.71
2023-06-23T08,0.02%,36.19%,0.51%,13.03%,50.25%,11.63,13.82
2023-06-23T09,0.02%,35.38%,0.53%,13.60%,50.48%,11.64,13.90
2023-06-23T10,0.02%,37.66%,0.54%,13.81%,47.96%,12.19,14.51
2023-06-23T11,0.03%,32.83%,0.55%,14.28%,52.31%,11.24,13.51
2023-06-23T12,0.03%,35.57%,0.57%,14.43%,49.40%,11.95,14.32
2023-06-23T13,0.02%,38.77%,0.54%,13.70%,46.96%,12.39,14.70
2023-06-23T14,0.02%,35.26%,0.49%,12.41%,51.82%,11.25,13.35
2023-06-23T15,0.01%,20.30%,0.42%,10.81%,68.45%,7.60,9.28
2023-06-23T16,0.02%,25.22%,0.37%,9.58%,64.81%,8.23,9.81
2023-06-23T17,0.02%,26.33%,0.38%,9.71%,63.56%,8.54,10.17
2023-06-23T18,0.02%,30.38%,0.38%,9.72%,59.50%,9.38,11.06
2023-06-23T19,0.02%,31.48%,0.34%,9.62%,58.54%,9.24,10.77
2023-06-23T20,0.01%,27.28%,0.37%,9.32%,63.02%,8.61,10.20
2023-06-23T21,0.01%,25.43%,0.36%,9.11%,65.09%,8.16,9.70
2023-06-23T22,0.02%,22.24%,0.36%,9.03%,68.36%,7.48,8.96
2023-06-23T23,0.02%,22.12%,0.34%,8.88%,68.65%,7.34,8.77
2023-06-24T00,0.02%,23.20%,0.29%,8.87%,67.63%,7.11,8.37
2023-06-24T01,0.02%,24.20%,0.35%,9.14%,66.30%,7.81,9.29
2023-06-24T02,0.01%,26.30%,0.37%,9.91%,63.41%,8.45,10.04
2023-06-24T03,0.01%,31.57%,0.35%,10.30%,57.77%,9.40,11.00
2023-06-24T04,0.01%,34.11%,0.21%,10.84%,54.82%,8.76,9.91
2023-06-24T05,0.02%,34.78%,0.20%,11.24%,53.76%,8.80,9.91
2023-06-24T06,0.03%,34.25%,0.22%,12.28%,53.23%,8.84,10.01
2023-06-24T07,0.02%,34.79%,0.24%,13.59%,51.35%,9.14,10.39
2023-06-24T08,0.03%,35.52%,0.25%,14.28%,49.91%,9.39,10.69
2023-06-24T09,0.03%,33.97%,0.27%,15.22%,50.51%,9.21,10.54
2023-06-24T10,0.03%,36.03%,0.29%,15.95%,47.71%,9.79,11.22
2023-06-24T11,0.03%,36.29%,0.28%,15.87%,47.53%,9.78,11.18
2023-06-24T12,0.04%,37.89%,0.29%,16.21%,45.57%,10.16,11.61
2023-06-24T13,0.03%,38.77%,0.29%,16.47%,44.44%,10.38,11.85
2023-06-24T14,0.02%,34.39%,0.27%,15.17%,50.15%,9.28,10.62
2023-06-24T15,0.02%,23.38%,0.23%,13.10%,63.27%,6.71,7.79
2023-06-24T16,0.02%,25.13%,0.21%,11.94%,62.70%,6.91,7.94
2023-06-24T17,0.01%,22.95%,0.20%,11.17%,65.67%,6.35,7.30
2023-06-24T18,0.01%,24.29%,0.19%,10.78%,64.73%,6.57,7.52
2023-06-24T19,0.01%,24.14%,0.19%,10.55%,65.11%,6.50,7.44
2023-06-24T20,0.01%,23.19%,0.18%,10.58%,66.04%,6.27,7.18
2023-06-24T21,0.01%,22.01%,0.18%,10.42%,67.37%,6.04,6.94
2023-06-24T22,0.01%,20.15%,0.18%,10.20%,69.46%,5.59,6.44
2023-06-24T23,0.01%,17.61%,0.17%,9.81%,72.40%,5.01,5.80
2023-06-25T00,0.01%,18.92%,0.16%,9.42%,71.49%,5.23,6.02
2023-06-25T01,0.01%,19.91%,0.16%,9.57%,70.34%,5.45,6.26
2023-06-25T02,0.01%,24.56%,0.17%,9.65%,65.61%,6.43,7.30
2023-06-25T03,0.01%,32.38%,0.17%,9.94%,57.50%,8.05,9.02
2023-06-25T04,0.01%,35.79%,0.18%,10.43%,53.59%,8.86,9.92
2023-06-25T05,0.01%,36.17%,0.19%,10.94%,52.68%,9.01,10.10
2023-06-25T06,0.02%,36.61%,0.20%,11.75%,51.42%,9.21,10.36
2023-06-25T07,0.02%,37.44%,0.22%,12.82%,49.51%,9.53,10.75
2023-06-25T08,0.02%,38.65%,0.23%,13.18%,47.93%,9.88,11.15
2023-06-25T09,0.02%,36.93%,0.24%,13.79%,49.02%,9.61,10.90
2023-06-25T10,0.02%,32.57%,0.26%,14.66%,52.49%,8.83,10.12
2023-06-25T11,0.02%,32.44%,0.26%,14.86%,52.41%,8.84,10.13
2023-06-25T12,0.02%,32.22%,0.26%,15.14%,52.36%,8.78,10.06
2023-06-25T13,0.02%,32.42%,0.27%,15.61%,51.68%,8.88,10.20
2023-06-25T14,0.02%,30.47%,0.25%,14.08%,55.18%,8.32,9.54
2023-06-25T15,0.02%,20.02%,0.20%,11.77%,67.98%,5.79,6.72
2023-06-25T16,0.01%,22.97%,0.19%,11.15%,65.67%,6.31,7.25
2023-06-25T17,0.01%,23.46%,0.19%,10.85%,65.49%,6.37,7.30
2023-06-25T18,0.01%,25.52%,0.18%,10.72%,63.56%,6.78,7.72
2023-06-25T19,0.01%,24.77%,0.18%,10.47%,64.56%,6.59,7.51
2023-06-25T20,0.01%,22.85%,0.18%,10.32%,66.65%,6.17,7.06
2023-06-25T21,0.01%,20.76%,0.18%,10.28%,68.76%,5.73,6.59
2023-06-25T22,0.01%,18.56%,0.17%,10.02%,71.23%,5.24,6.06
2023-06-25T23,0.01%,17.60%,0.16%,9.48%,72.75%,4.96,5.74
2023-06-26T00,0.01%,19.26%,0.16%,9.17%,71.40%,5.26,6.04
2023-06-26T01,0.01%,18.94%,0.16%,9.10%,71.78%,5.19,5.96
2023-06-26T02,0.01%,23.82%,0.16%,9.51%,66.49%,6.26,7.11
2023-06-26T03,0.01%,32.55%,0.17%,9.80%,57.47%,8.10,9.08
2023-06-26T04,0.02%,35.94%,0.17%,10.09%,53.78%,8.81,9.83
2023-06-26T05,0.02%,33.48%,0.18%,10.68%,55.63%,8.42,9.46
2023-06-26T06,0.03%,34.47%,0.21%,11.93%,53.36%,8.84,9.99
2023-06-26T07,0.03%,31.60%,0.23%,12.95%,55.19%,8.39,9.57
2023-06-26T08,0.02%,32.71%,0.23%,13.38%,53.66%,8.63,9.83
2023-06-26T09,0.03%,30.92%,0.25%,13.96%,54.84%,8.40,9.62
2023-06-26T10,0.03%,29.73%,0.25%,14.37%,55.62%,8.21,9.44
2023-06-26T11,0.03%,29.25%,0.26%,14.52%,55.94%,8.13,9.37
2023-06-26T12,0.04%,29.53%,0.26%,14.70%,55.47%,8.21,9.47
2023-06-26T13,0.03%,31.16%,0.25%,14.21%,54.35%,8.48,9.72
2023-06-26T14,0.02%,29.81%,0.22%,12.73%,57.20%,7.99,9.13
2023-06-26T15,0.02%,21.16%,0.19%,10.78%,67.85%,5.92,6.83
2023-06-26T16,0.02%,19.32%,0.12%,9.73%,70.82%,4.94,5.57
2023-06-26T17,0.01%,22.40%,0.03%,9.31%,68.25%,4.87,5.25
2023-06-26T18,0.01%,21.91%,0.02%,9.13%,68.93%,4.73,5.09
2023-06-26T19,0.02%,22.98%,0.03%,8.87%,68.11%,4.98,5.36
2023-06-26T20,0.01%,22.70%,0.02%,8.75%,68.51%,4.88,5.25
2023-06-26T21,0.01%,22.64%,0.09%,8.50%,68.77%,5.38,5.96
2023-06-26T22,0.01%,21.49%,0.14%,8.40%,69.94%,5.62,6.38
2023-06-26T23,0.01%,21.66%,0.14%,8.26%,69.93%,5.63,6.39
2023-06-27T00,0.01%,22.32%,0.14%,8.12%,69.41%,5.75,6.50
2023-06-27T01,0.01%,23.44%,0.14%,8.18%,68.23%,5.99,6.76
2023-06-27T02,0.02%,26.06%,0.15%,8.62%,65.16%,6.59,7.42
2023-06-27T03,0.01%,34.77%,0.15%,8.90%,56.17%,8.40,9.34
2023-06-27T04,0.01%,38.36%,0.16%,9.29%,52.18%,9.20,10.20
2023-06-27T05,0.01%,37.77%,0.17%,10.04%,52.00%,9.18,10.22
2023-06-27T06,0.01%,37.54%,0.19%,11.23%,51.02%,9.33,10.46
2023-06-27T07,0.02%,37.34%,0.21%,12.17%,50.27%,9.42,10.60
2023-06-27T08,0.02%,36.55%,0.22%,12.79%,50.42%,9.34,10.55
2023-06-27T09,0.02%,33.93%,0.25%,14.00%,51.80%,9.02,10.29
2023-06-27T10,0.02%,31.10%,0.26%,14.83%,53.78%,8.56,9.83
2023-06-27T11,0.02%,32.31%,0.26%,14.77%,52.64%,8.80,10.09
2023-06-27T12,0.03%,31.88%,0.26%,14.84%,52.99%,8.72,10.01
2023-06-27T13,0.03%,33.93%,0.25%,14.32%,51.48%,9.07,10.35
2023-06-27T14,0.02%,31.34%,0.23%,13.06%,55.35%,8.35,9.52
2023-06-27T15,0.01%,25.09%,0.13%,10.50%,64.27%,6.20,6.94
2023-06-27T16,0.01%,28.23%,-0.01%,9.16%,62.60%,5.74,6.05
2023-06-27T17,0.01%,31.24%,-0.02%,8.83%,59.94%,6.34,6.67
2023-06-27T18,0.01%,30.78%,0.06%,8.94%,60.20%,6.88,7.48
2023-06-27T19,0.01%,28.17%,0.31%,9.12%,62.39%,8.37,9.79
2023-06-27T20,0.01%,25.81%,0.35%,8.99%,64.84%,8.17,9.68
2023-06-27T21,0.01%,24.52%,0.35%,9.01%,66.12%,7.90,9.40
2023-06-27T22,0.01%,22.53%,0.34%,8.73%,68.40%,7.41,8.84
2023-06-27T23,0.01%,23.46%,0.33%,8.48%,67.73%,7.49,8.89
2023-06-28T00,0.01%,25.03%,0.32%,8.24%,66.40%,7.74,9.13
2023-06-28T01,0.01%,26.61%,0.32%,8.27%,64.79%,8.07,9.48
2023-06-28T02,0.02%,29.12%,0.33%,8.55%,61.98%,8.71,10.20
2023-06-28T03,0.02%,36.04%,0.34%,8.97%,54.63%,10.24,11.86
2023-06-28T04,0.01%,38.17%,0.37%,9.43%,52.02%,10.86,12.58
2023-06-28T05,0.01%,39.49%,0.38%,9.84%,50.27%,11.26,13.05
2023-06-28T06,0.01%,40.24%,0.42%,11.02%,48.31%,11.75,13.69
2023-06-28T07,0.02%,38.80%,0.47%,12.02%,48.69%,11.81,13.88
2023-06-28T08,0.03%,39.82%,0.48%,12.34%,47.33%,12.12,14.25
2023-06-28T09,0.02%,38.92%,0.50%,12.87%,47.69%,12.10,14.29
2023-06-28T10,0.03%,37.72%,0.52%,13.50%,48.23%,12.06,14.31
2023-06-28T11,0.02%,35.79%,0.55%,14.04%,49.61%,11.83,14.12
2023-06-28T12,0.03%,37.05%,0.54%,13.89%,48.48%,12.04,14.34
2023-06-28T13,0.03%,38.14%,0.51%,13.24%,48.08%,12.06,14.28
2023-06-28T14,0.03%,34.53%,0.46%,11.97%,53.01%,10.91,12.92
2023-06-28T15,0.02%,25.74%,0.39%,10.05%,63.79%,8.49,10.13
2023-06-28T16,0.02%,26.17%,0.35%,9.05%,64.40%,8.26,9.78
2023-06-28T17,0.02%,28.13%,0.34%,8.69%,62.82%,8.56,10.05
2023-06-28T18,0.02%,28.03%,0.33%,8.57%,63.05%,8.47,9.94
2023-06-28T19,0.02%,28.16%,0.33%,8.57%,62.93%,8.49,9.96
2023-06-28T20,0.01%,27.36%,0.33%,8.48%,63.82%,8.30,9.75
2023-06-28T21,0.01%,24.28%,0.32%,8.41%,66.97%,7.64,9.04
2023-06-28T22,0.01%,20.63%,0.32%,8.33%,70.70%,6.86,8.21
2023-06-28T23,0.01%,23.09%,0.30%,7.89%,68.71%,7.23,8.55
2023-06-29T00,0.01%,24.66%,0.30%,7.81%,67.21%,7.53,8.86
2023-06-29T01,0.01%,26.35%,0.30%,7.76%,65.58%,7.87,9.21
2023-06-29T02,0.01%,31.26%,0.30%,7.81%,60.61%,8.90,10.31
2023-06-29T03,0.01%,37.98%,0.30%,8.02%,53.68%,10.32,11.83
2023-06-29T04,0.01%,41.85%,0.32%,8.32%,49.50%,11.24,12.85
2023-06-29T05,0.01%,41.01%,0.34%,8.97%,49.68%,11.24,12.90
2023-06-29T06,0.01%,39.33%,0.39%,10.10%,50.17%,11.27,13.08
2023-06-29T07,0.01%,40.30%,0.43%,11.07%,48.19%,11.78,13.73
2023-06-29T08,0.02%,40.83%,0.47%,12.00%,46.68%,12.23,14.32
2023-06-29T09,0.02%,43.70%,0.48%,12.59%,43.21%,12.96,15.15
2023-06-29T10,0.02%,44.78%,0.50%,12.99%,41.71%,13.35,15.62
2023-06-29T11,0.02%,44.05%,0.52%,13.56%,41.85%,13.33,15.65
2023-06-29T12,0.01%,43.86%,0.53%,13.75%,41.85%,13.35,15.69
2023-06-29T13,0.01%,44.73%,0.53%,13.70%,41.02%,13.56,15.93
2023-06-29T14,0.01%,40.56%,0.48%,12.34%,46.61%,12.27,14.40
2023-06-29T15,0.01%,29.29%,0.41%,10.53%,59.76%,9.37,11.13
2023-06-29T16,0.01%,33.53%,0.37%,9.58%,56.52%,9.91,11.58
2023-06-29T17,0.01%,35.45%,0.36%,9.34%,54.84%,10.24,11.90
2023-06-29T18,0.01%,33.81%,0.35%,9.12%,56.70%,9.83,11.44
2023-06-29T19,0.01%,30.72%,0.35%,9.00%,59.93%,9.15,10.71
2023-06-29T20,0.01%,29.76%,0.34%,8.91%,60.98%,8.93,10.46
2023-06-29T21,0.01%,29.40%,0.33%,8.72%,61.54%,8.77,10.26
2023-06-29T22,0.01%,31.07%,0.31%,8.26%,60.35%,8.97,10.42
2023-06-29T23,0.01%,31.16%,0.30%,7.79%,60.75%,8.84,10.24
2023-06-30T00,0.01%,33.77%,0.29%,7.42%,58.52%,9.29,10.68
2023-06-30T01,0.01%,37.07%,0.28%,7.19%,55.45%,9.90,11.31
2023-06-30T02,0.01%,41.72%,0.27%,7.16%,50.84%,10.85,12.31
2023-06-30T03,0.01%,47.07%,0.29%,7.59%,45.05%,12.06,13.63
2023-06-30T04,0.01%,48.98%,0.31%,8.12%,42.57%,12.66,14.33
2023-06-30T05,0.01%,49.91%,0.33%,8.72%,41.03%,13.04,14.80
2023-06-30T06,0.01%,51.62%,0.37%,9.60%,38.40%,13.67,15.56
2023-06-30T07,0.01%,50.40%,0.42%,10.82%,38.35%,13.79,15.83
2023-06-30T08,0.02%,52.19%,0.45%,11.73%,35.61%,14.41,16.57
2023-06-30T09,0.02%,54.68%,0.47%,12.35%,32.48%,15.15,17.45
2023-06-30T10,0.02%,54.39%,0.50%,12.97%,32.12%,15.29,17.66
2023-06-30T11,0.01%,57.92%,0.50%,12.96%,28.61%,16.02,18.43
2023-06-30T12,0.02%,54.28%,0.53%,13.68%,31.50%,15.49,17.95
2023-06-30T13,0.01%,55.63%,0.53%,13.68%,30.16%,15.76,18.24
2023-06-30T14,0.01%,50.56%,0.46%,12.36%,36.61%,14.17,16.36
2023-06-30T15,0.01%,41.52%,0.39%,10.06%,48.03%,11.72,13.55
2023-06-30T16,0.01%,41.18%,0.35%,9.07%,49.40%,11.34,13.04
2023-06-30T17,0.01%,39.51%,0.34%,8.75%,51.39%,10.90,12.53
2023-06-30T18,0.01%,36.81%,0.32%,8.46%,54.40%,10.22,11.76
2023-06-30T19,0.01%,35.14%,0.32%,8.33%,56.20%,9.86,11.39
2023-06-30T20,0.01%,36.05%,0.31%,8.13%,55.50%,9.96,11.46
2023-06-30T21,0.01%,34.88%,0.30%,7.86%,56.95%,9.64,11.08
2023-06-30T22,0.01%,36.25%,0.29%,7.55%,55.91%,9.82,11.25
2023-06-30T23,0.01%,39.53%,0.28%,7.17%,53.01%,10.41,11.84
2023-07-01T00,0.01%,41.79%,0.27%,7.00%,50.94%,10.80,12.22
2023-07-01T01,0.01%,44.10%,0.26%,6.96%,48.67%,11.26,12.71
2023-07-01T02,0.01%,47.63%,0.26%,6.87%,45.24%,11.96,13.44
2023-07-01T03,0.01%,53.66%,0.26%,7.03%,39.05%,13.18,14.73
2023-07-01T04,0.01%,55.61%,0.29%,7.65%,36.44%,13.85,15.53
2023-07-01T05,0.01%,55.84%,0.32%,8.41%,35.42%,14.11,15.87
2023-07-01T06,0.01%,57.24%,0.35%,9.26%,33.13%,14.69,16.60
2023-07-01T07,0.01%,56.23%,0.39%,10.33%,33.03%,14.78,16.80
2023-07-01T08,0.01%,57.94%,0.41%,10.86%,30.77%,15.33,17.45
2023-07-01T09,0.02%,56.61%,0.45%,11.93%,30.99%,15.38,17.63
2023-07-01T10,0.02%,53.42%,0.50%,13.03%,33.03%,15.06,17.41
2023-07-01T11,0.02%,51.85%,0.53%,13.90%,33.71%,15.01,17.45
2023-07-01T12,0.03%,50.25%,0.55%,14.40%,34.77%,14.83,17.32
2023-07-01T13,0.03%,50.97%,0.55%,14.72%,33.72%,15.02,17.54
2023-07-01T14,0.02%,47.45%,0.49%,13.32%,38.71%,13.82,16.09
2023-07-01T15,0.01%,40.71%,0.32%,10.80%,48.15%,11.05,12.66
2023-07-01T16,0.01%,41.27%,0.19%,9.60%,48.92%,10.12,11.29
2023-07-01T17,0.01%,37.86%,0.19%,9.33%,52.61%,9.36,10.48
2023-07-01T18,0.01%,34.93%,0.19%,9.16%,55.72%,8.73,9.80
2023-07-01T19,0.01%,32.25%,0.18%,8.87%,58.69%,8.13,9.15
2023-07-01T20,0.01%,30.24%,0.17%,8.52%,61.06%,7.66,8.63
2023-07-01T21,0.01%,31.87%,0.16%,8.08%,59.88%,7.92,8.88
2023-07-01T22,0.01%,34.89%,0.16%,7.70%,57.25%,8.48,9.45
2023-07-01T23,0.01%,39.58%,0.15%,7.36%,52.90%,9.40,10.40
2023-07-02T00,0.01%,41.26%,0.01%,7.10%,51.63%,8.61,9.16
2023-07-02T01,0.01%,41.94%,0.06%,6.99%,50.99%,9.20,9.95
2023-07-02T02,0.01%,46.33%,0.15%,7.04%,46.48%,10.77,11.84
2023-07-02T03,0.00%,54.14%,0.15%,7.32%,38.39%,12.40,13.58
2023-07-02T04,0.00%,56.81%,0.16%,7.79%,35.24%,13.03,14.28
2023-07-02T05,0.01%,56.70%,0.17%,8.32%,34.80%,13.10,14.38
2023-07-02T06,0.01%,57.14%,0.18%,8.97%,33.70%,13.30,14.63
2023-07-02T07,0.01%,56.70%,0.20%,9.85%,33.23%,13.35,14.75
2023-07-02T08,0.01%,58.64%,0.21%,10.10%,31.04%,13.80,15.23
2023-07-02T09,0.01%,58.05%,0.22%,10.84%,30.88%,13.79,15.27
2023-07-02T10,0.01%,55.60%,0.23%,11.39%,32.77%,13.38,14.86
2023-07-02T11,0.01%,54.44%,0.24%,11.89%,33.42%,13.22,14.72
2023-07-02T12,0.02%,54.50%,0.25%,12.49%,32.73%,13.33,14.88
2023-07-02T13,0.01%,54.44%,0.26%,12.80%,32.49%,13.37,14.93
2023-07-02T14,0.01%,49.06%,0.25%,12.05%,38.64%,12.13,13.58
2023-07-02T15,0.01%,40.62%,0.21%,10.20%,48.97%,10.08,11.29
2023-07-02T16,0.01%,40.18%,0.19%,9.11%,50.52%,9.81,10.94
2023-07-02T17,0.01%,38.22%,0.18%,8.92%,52.67%,9.37,10.47
2023-07-02T18,0.01%,35.92%,0.18%,8.85%,55.04%,8.89,9.95
2023-07-02T19,0.01%,35.02%,0.18%,8.58%,56.22%,8.66,9.69
2023-07-02T20,0.01%,34.36%,0.17%,8.27%,57.19%,8.47,9.47
2023-07-02T21,0.01%,33.16%,0.16%,7.79%,58.89%,8.14,9.09
2023-07-02T22,0.01%,35.90%,0.15%,7.45%,56.49%,8.65,9.61
2023-07-02T23,0.01%,39.50%,0.14%,7.10%,53.26%,9.34,10.32
2023-07-03T00,0.01%,41.16%,0.14%,6.84%,51.85%,9.64,10.63
2023-07-03T01,0.01%,43.54%,0.13%,6.56%,49.77%,10.08,11.08
2023-07-03T02,0.01%,49.31%,0.13%,6.35%,44.21%,11.24,12.30
2023-07-03T03,0.00%,56.84%,0.13%,6.55%,36.48%,12.83,13.99
2023-07-03T04,0.01%,60.72%,0.14%,6.85%,32.28%,13.69,14.92
2023-07-03T05,0.01%,61.98%,0.15%,7.32%,30.54%,14.03,15.31
2023-07-03T06,0.01%,61.30%,0.16%,8.08%,30.45%,14.01,15.33
2023-07-03T07,0.02%,58.75%,0.18%,9.12%,31.93%,13.62,14.98
2023-07-03T08,0.02%,56.77%,0.20%,9.94%,33.07%,13.38,14.78
2023-07-03T09,0.01%,54.08%,0.22%,10.73%,34.96%,12.95,14.37
2023-07-03T10,0.01%,56.48%,0.22%,10.98%,32.30%,13.49,14.96
2023-07-03T11,0.02%,55.04%,0.23%,11.40%,33.31%,13.26,14.74
2023-07-03T12,0.02%,54.00%,0.24%,11.62%,34.12%,13.09,14.57
2023-07-03T13,0.02%,52.41%,0.24%,11.56%,35.78%,12.75,14.20
