period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-10-02T09,11.43%,44.56%,11.32%,0.00%,32.70%,14.03,8.92
2023-10-02T10,11.81%,46.69%,11.31%,0.00%,30.18%,14.59,9.26
2023-10-02T11,11.72%,48.11%,11.01%,0.00%,29.16%,14.73,9.34
2023-10-02T12,12.89%,49.69%,10.48%,0.00%,26.94%,15.74,10.01
2023-10-02T13,15.15%,49.48%,10.29%,0.00%,25.07%,17.22,11.05
2023-10-02T14,14.35%,48.10%,10.12%,0.00%,27.43%,16.49,10.56
2023-10-02T15,13.17%,45.11%,9.53%,0.00%,32.20%,15.27,9.77
2023-10-02T16,11.70%,41.85%,8.90%,0.00%,37.55%,13.82,8.82
2023-10-02T17,12.02%,40.45%,8.37%,0.00%,39.16%,13.83,8.86
2023-10-02T18,12.67%,43.01%,7.97%,0.00%,36.36%,14.64,9.37
2023-10-02T19,14.25%,45.74%,7.60%,0.00%,32.41%,16.08,10.33
2023-10-02T20,14.87%,46.24%,7.36%,0.00%,31.53%,16.57,10.66
2023-10-02T21,14.52%,46.53%,7.25%,0.00%,31.69%,16.38,10.52
2023-10-02T22,13.73%,45.68%,7.27%,0.00%,33.33%,15.72,10.08
2023-10-02T23,13.11%,45.63%,7.43%,0.00%,33.82%,15.31,9.79
2023-10-03T00,13.08%,46.59%,7.69%,0.00%,32.65%,15.42,9.85
